お名前(HN可),所属陣営,年末の日経平均株価は？
ドルトン,湘南投資勉強会,42500
とおる,湘南投資勉強会,42500
おいどん,どちらかと言うと神戸,42500
にからご,湘南投資勉強会,42500
アディ,湘南投資勉強会,42500
X,神戸投資勉強会,42500
つま,湘南投資勉強会,42500
フック船長,どこにも所属していない,42300
さざなみ,湘南投資勉強会,42287
前田嘉一,神戸投資勉強会,42224
奥中 悠二朗,湘南投資勉強会,42222
のりこ,湘南投資勉強会,42222
さーさ,神戸投資勉強会,42200
横浜ジロー,湘南投資勉強会,42000
もりお,湘南投資勉強会,42000
らう,湘南投資勉強会,42000
なつみ,湘南投資勉強会,42000
人間,湘南投資勉強会,42000
you,湘南投資勉強会,42000
Nori. H,湘南投資勉強会,42000
ぬる,湘南投資勉強会,42000
朝昼晩飯,湘南投資勉強会,42000
くりご飯,湘南投資勉強会,42000
もっぴー,湘南投資勉強会,42000
にき,特に所属なし,42000
もりたか。,湘南投資勉強会,42000
AK,神戸投資勉強会,42000
Bolsa,湘南投資勉強会,42000
ミキスケ,湘南投資勉強会,42000
なべさん@高配当バリュー投資家,湘南投資勉強会,42000
とものり,湘南投資勉強会,42000
フックン,神戸投資勉強会,42000
シバマサ,湘南投資勉強会,42000
9984,湘南投資勉強会,42000
ぽけもん２,湘南投資勉強会,42000
DAIBOUCHOU,湘南投資勉強会,42000
miya,湘南投資勉強会,42000
ポポ,湘南投資勉強会,42000
au3（ナカ）,湘南投資勉強会,42000
コジエリ,湘南投資勉強会,42000
おのこ,所属なし,42000
いち,湘南投資勉強会,42000
円蔵,湘南投資勉強会,42000
こた,湘南投資勉強会,42000
コブダイバー,神戸投資勉強会,42000
TAKAS,湘南投資勉強会,42000
とらほう,神戸投資勉強会,42000
nazuna,湘南投資勉強会,42000
むね坊主,神戸投資勉強会,42000
momo,湘南投資勉強会,42000
_dee,神戸投資勉強会,42000
ゆうき,湘南投資勉強会,42000
yuyu,湘南投資勉強会,42000
ほーちゃんのパパ,湘南投資勉強会,41915
ミラグレーン,湘南投資勉強会,41900
ロニー,湘南投資勉強会,41900
やまにゃん,湘南投資勉強会,41750
りんたん,湘南投資勉強会,41595
写楽保介,湘南投資勉強会,41592
くま,湘南投資勉強会,41500
グラッチ,湘南投資勉強会,41500
