tony	神戸投資勉強会	2395	新日本科学	2349	1698	-27.7%					ロニー	湘南投資勉強会	6577	ベストワンドットコム	1686	3815	126.3%										
やっしー	神戸投資勉強会	2410	キャリアデザインセンター	1475	2166	46.8%					あせろら	湘南投資勉強会	2372	アイロムグループ	2340	2009	-14.1%										
ヨシ	湘南投資勉強会	2411	ゲンダイエージェンシー	366	377	3.0%					でふし	神戸投資勉強会	2372	アイロムグループ	2340	2009	-14.1%										
きよし(神戸)	神戸投資勉強会	2418	ツカダ・グローバルＨＯＬＤ	350	379	8.3%					するが	湘南投資勉強会	2892	日本食品化工	2873	4035	40.4%										
かもめ	湘南投資勉強会	2424	ブラス	1002	683	-31.8%					加藤バネ男	神戸投資勉強会	1799	第一建設工業	1353	1665	23.1%										
thun	湘南投資勉強会	2427	アウトソーシング	939	1740	85.3%					rei	神戸投資勉強会	2585	ライフドリンクカンパニー	2409	4655	93.2%										
かんざき	湘南投資勉強会	2427	アウトソーシング	939	1740	85.3%					rei	神戸投資勉強会	8914	エリアリンク	1843	2690	46.0%										
rurio	神戸投資勉強会	2479	ジェイテック	221	235	6.3%					タカ@takanovalue	神戸投資勉強会	6550	Ｕｎｉｐｏｓ	144	157	9.0%										
ぱふぇっと	神戸投資勉強会	2479	ジェイテック	221	235	6.3%					タカ@takanovalue	神戸投資勉強会	7820	ニホンフラッシュ	873	908	4.0%										
愛鷹	湘南投資勉強会	2492	インフォマート	336	496	47.6%					あせろら	湘南投資勉強会	6067	インパクトＨＤ	3890	4490	15.4%										
rei	神戸投資勉強会	2585	ライフドリンクカンパニー	2409	4655	93.2%					Nami	湘南投資勉強会	7378	アシロ	655	724	10.5%										
しのぴー横綱若三杉	神戸投資勉強会	2652	まんだらけ	1002	2232	122.8%					hide	湘南投資勉強会	5136	ｔｒｉｐｌａ	2000	1575	-21.3%				キリン@神戸投資勉強会	神戸投資勉強会	3498	霞ヶ関キャピタル	4435	8960	102.0%
リネラブ	神戸投資勉強会	2652	まんだらけ	1002	2232	122.8%					hide	湘南投資勉強会	6235	オプトラン	2465	1631	-33.8%				くま	湘南投資勉強会	4414	フレクト	2093	4555	117.6%
hide	湘南投資勉強会	2681	ゲオホールディングス	1977	2122	7.3%					たお	湘南投資勉強会	4251	恵和	1518	1280	-15.7%										
ケンヂ	湘南投資勉強会	2685	アダストリア	2301	3475	51.0%					あさか	湘南投資勉強会	3864	三菱製紙	280	553	97.5%										
えびす	湘南投資勉強会	2694	焼肉坂井ホールディンク	71	74	4.2%					ちぃ	湘南投資勉強会	5034	ＵＮＥＲＲＹ	2305	2055	-10.8%										
SHINJI	神戸投資勉強会	2726	パルグループＨＬＤＧＳ	1271.5	2464	93.8%					Nami	湘南投資勉強会	2934	ジェイフロンティア	2711	4300	58.6%										
よしぼん	神戸投資勉強会	2726	パルグループＨＬＤＧＳ	1271.5	2464	93.8%					Nami	湘南投資勉強会	7367	セルム	601	757	26.0%										
アディ	湘南投資勉強会	2778	パレモ・ホールディングス	178	175	-1.7%					ヒデゾー	湘南投資勉強会	9339	コーチ・エィ	1965	1670	-15.0%										
かもめ	湘南投資勉強会	2813	和弘食品	2006.6666	2427	20.9%					きよし(神戸)	神戸投資勉強会	2418	ツカダ・グローバルＨＯＬＤ	350	379	8.3%										
スーパーこさく	神戸投資勉強会	2820	やまみ	1390	3530	154.0%					ayame	湘南投資勉強会	7725	インターアクション	1588	1083	-31.8%				yama	湘南投資勉強会	7047	ポート	1078	2357	118.6%
みなと	湘南投資勉強会	2884	ヨシムラ・フード・ＨＬＤＧＳ	641	1042	62.6%					thun	湘南投資勉強会	6630	ヤーマン	1357	1006	-25.9%										
ゆに	神戸投資勉強会	2884	ヨシムラ・フード・ＨＬＤＧＳ	641	1042	62.6%					thun	湘南投資勉強会	7794	イーディーピー	3950	1796	-54.5%										
するが	湘南投資勉強会	2892	日本食品化工	2873	4035	40.4%					あんこ	湘南投資勉強会	3393	スターティアホールディングス	925	1341	45.0%										
Nami	湘南投資勉強会	2934	ジェイフロンティア	2711	4300	58.6%					tony	神戸投資勉強会	2395	新日本科学	2349	1698	-27.7%										
するが	湘南投資勉強会	2934	ジェイフロンティア	2711	4300	58.6%					yama	湘南投資勉強会	7047	ポート	1078	2357	118.6%										
キリン@神戸投資勉強会	神戸投資勉強会	2934	ジェイフロンティア	2711	4300	58.6%					tony	神戸投資勉強会	7809	壽屋	3673.3333	1614	-56.1%										
ココア	湘南投資勉強会	2936	ベースフード	385	482	25.2%					きよし(湘南)	湘南投資勉強会	6172	メタップス	560	886	58.2%										
グコウさん	神戸投資勉強会	2937	サンクゼール	3005	2588	-13.9%					やっしー	神戸投資勉強会	7279	ハイレックスコーポレーション	1075	1359	26.4%										
AK	湘南投資勉強会	2978	ツクルバ	728	854	17.3%					グコウさん	神戸投資勉強会	2937	サンクゼール	3005	2588	-13.9%										
むね坊主	神戸投資勉強会	2980	ＳＲＥホールディングス	3310	2754	-16.8%					ゆに	神戸投資勉強会	2884	ヨシムラ・フード・ＨＬＤＧＳ	641	1042	62.6%										
kenmo	湘南投資勉強会	2981	ランディックス	2339	2421	3.5%					てざわり	湘南投資勉強会	4927	ポーラ・オルビスＨＤ	1839	1584	-13.9%										
イタル	湘南投資勉強会	2981	ランディックス	2339	2421	3.5%					でふし	神戸投資勉強会	5444	大和工業	4505	7441	65.2%										
ののこ	神戸投資勉強会	2981	ランディックス	2339	2421	3.5%					でふし	神戸投資勉強会	8091	ニチモウ	1471	2018	37.2%										
