,pokemon_name,params,ranking,param_name,rate
0,ハバタクカミ,覚えているわざ,1,ムーンフォース,93.8
1,ハバタクカミ,覚えているわざ,2,シャドーボール,92.8
2,ハバタクカミ,覚えているわざ,3,マジカルフレイム,67.7
3,ハバタクカミ,覚えているわざ,4,サイコショック,40.9
4,ハバタクカミ,覚えているわざ,5,ほろびのうた,21.9
5,ハバタクカミ,覚えているわざ,6,パワージェム,14.4
6,ハバタクカミ,覚えているわざ,7,エナジーボール,7.9
7,ハバタクカミ,覚えているわざ,8,みがわり,7.8
8,ハバタクカミ,覚えているわざ,9,めいそう,7.7
9,ハバタクカミ,覚えているわざ,10,１０まんボルト,5.9
10,ハバタクカミ,とくせい,1,こだいかっせい,100.0
11,ハバタクカミ,せいかく,1,おくびょう,75.0
12,ハバタクカミ,せいかく,2,ひかえめ,20.6
13,ハバタクカミ,せいかく,3,ずぶとい,2.4
14,ハバタクカミ,せいかく,4,せっかち,0.3
15,ハバタクカミ,せいかく,5,おだやか,0.2
16,ハバタクカミ,せいかく,6,おっとり,0.2
17,ハバタクカミ,せいかく,7,むじゃき,0.2
18,ハバタクカミ,せいかく,8,てれや,0.1
19,ハバタクカミ,せいかく,9,ようき,0.1
20,ハバタクカミ,せいかく,10,うっかりや,0.1
21,ハバタクカミ,もちもの,1,こだわりメガネ,32.8
22,ハバタクカミ,もちもの,2,ブーストエナジー,32.6
23,ハバタクカミ,もちもの,3,きあいのタスキ,16.1
24,ハバタクカミ,もちもの,4,こだわりスカーフ,12.8
25,ハバタクカミ,もちもの,5,いのちのたま,2.8
26,ハバタクカミ,もちもの,6,とつげきチョッキ,1.2
27,ハバタクカミ,もちもの,7,たべのこし,0.3
28,ハバタクカミ,もちもの,8,ものしりメガネ,0.2
29,ハバタクカミ,もちもの,9,たつじんのおび,0.2
30,ハバタクカミ,もちもの,10,オボンのみ,0.2
31,ハバタクカミ,テラスタイプ,1,フェアリー,59.4
32,ハバタクカミ,テラスタイプ,2,ほのお,14.5
33,ハバタクカミ,テラスタイプ,3,ノーマル,10.8
34,ハバタクカミ,テラスタイプ,4,ゴースト,9.1
