,pokemon_name,params,ranking,param_name,rate
0,ハバタクカミ,覚えているわざ,1,ムーンフォース,93.6
1,ハバタクカミ,覚えているわざ,2,シャドーボール,91.3
2,ハバタクカミ,覚えているわざ,3,マジカルフレイム,64.6
3,ハバタクカミ,覚えているわざ,4,サイコショック,39.8
4,ハバタクカミ,覚えているわざ,5,ほろびのうた,20.3
5,ハバタクカミ,覚えているわざ,6,パワージェム,13.5
6,ハバタクカミ,覚えているわざ,7,めいそう,9.5
7,ハバタクカミ,覚えているわざ,8,あまえる,9.3
8,ハバタクカミ,覚えているわざ,9,１０まんボルト,9.2
9,ハバタクカミ,覚えているわざ,10,みがわり,8.8
10,ハバタクカミ,とくせい,1,こだいかっせい,100.0
11,ハバタクカミ,せいかく,1,おくびょう,75.1
12,ハバタクカミ,せいかく,2,ひかえめ,20.3
13,ハバタクカミ,せいかく,3,ずぶとい,2.6
14,ハバタクカミ,せいかく,4,おだやか,0.4
15,ハバタクカミ,せいかく,5,せっかち,0.2
16,ハバタクカミ,せいかく,6,おっとり,0.2
17,ハバタクカミ,せいかく,7,むじゃき,0.2
18,ハバタクカミ,せいかく,8,ようき,0.2
19,ハバタクカミ,せいかく,9,まじめ,0.1
20,ハバタクカミ,せいかく,10,うっかりや,0.1
21,ハバタクカミ,もちもの,1,ブーストエナジー,40.1
22,ハバタクカミ,もちもの,2,こだわりメガネ,31.2
23,ハバタクカミ,もちもの,3,こだわりスカーフ,13.3
24,ハバタクカミ,もちもの,4,きあいのタスキ,10.5
25,ハバタクカミ,もちもの,5,いのちのたま,1.9
26,ハバタクカミ,もちもの,6,とつげきチョッキ,1.3
27,ハバタクカミ,もちもの,7,たべのこし,0.4
28,ハバタクカミ,もちもの,8,たつじんのおび,0.2
29,ハバタクカミ,もちもの,9,ものしりメガネ,0.2
30,ハバタクカミ,もちもの,10,ラムのみ,0.1
31,ハバタクカミ,テラスタイプ,1,フェアリー,62.5
32,ハバタクカミ,テラスタイプ,2,ほのお,16.8
33,ハバタクカミ,テラスタイプ,3,ノーマル,6.4
34,ハバタクカミ,テラスタイプ,4,ゴースト,6.1
