,pokemon_name,params,ranking,param_name,rate
0,ハバタクカミ,覚えているわざ,1,ムーンフォース,92.0
1,ハバタクカミ,覚えているわざ,2,シャドーボール,85.5
2,ハバタクカミ,覚えているわざ,3,めいそう,36.1
3,ハバタクカミ,覚えているわざ,4,マジカルフレイム,33.6
4,ハバタクカミ,覚えているわざ,5,サイコショック,27.4
5,ハバタクカミ,覚えているわざ,6,いたみわけ,19.7
6,ハバタクカミ,覚えているわざ,7,テラバースト,16.7
7,ハバタクカミ,覚えているわざ,8,あまえる,16.5
8,ハバタクカミ,覚えているわざ,9,みがわり,16.1
9,ハバタクカミ,覚えているわざ,10,パワージェム,9.5
10,ハバタクカミ,とくせい,1,こだいかっせい,100.0
11,ハバタクカミ,せいかく,1,おくびょう,79.8
12,ハバタクカミ,せいかく,2,ひかえめ,15.3
13,ハバタクカミ,せいかく,3,ずぶとい,3.7
14,ハバタクカミ,せいかく,4,せっかち,0.2
15,ハバタクカミ,せいかく,5,おだやか,0.2
16,ハバタクカミ,せいかく,6,むじゃき,0.1
17,ハバタクカミ,せいかく,7,おっとり,0.1
18,ハバタクカミ,せいかく,8,れいせい,0.1
19,ハバタクカミ,せいかく,9,てれや,0.1
20,ハバタクカミ,せいかく,10,ようき,0.1
21,ハバタクカミ,もちもの,1,ブーストエナジー,59.4
22,ハバタクカミ,もちもの,2,こだわりメガネ,23.1
23,ハバタクカミ,もちもの,3,きあいのタスキ,7.2
24,ハバタクカミ,もちもの,4,こだわりスカーフ,4.1
25,ハバタクカミ,もちもの,5,とつげきチョッキ,3.4
26,ハバタクカミ,もちもの,6,いのちのたま,0.9
27,ハバタクカミ,もちもの,7,たべのこし,0.5
28,ハバタクカミ,もちもの,8,ゴツゴツメット,0.2
29,ハバタクカミ,もちもの,9,せいれいプレート,0.2
30,ハバタクカミ,もちもの,10,ふうせん,0.1
31,ハバタクカミ,テラスタイプ,1,フェアリー,42.9
32,ハバタクカミ,テラスタイプ,2,みず,28.8
33,ハバタクカミ,テラスタイプ,3,じめん,10.2
34,ハバタクカミ,テラスタイプ,4,ほのお,5.2
35,ハバタクカミ,テラスタイプ,5,ノーマル,5.2
36,ハバタクカミ,テラスタイプ,6,ゴースト,5.1
37,ハバタクカミ,テラスタイプ,7,くさ,0.8
38,ハバタクカミ,テラスタイプ,8,はがね,0.7
39,ハバタクカミ,テラスタイプ,9,かくとう,0.4
40,ハバタクカミ,テラスタイプ,10,でんき,0.4
41,ハバタクカミ,同じチーム,1,カイリュー,-1
42,ハバタクカミ,同じチーム,2,パオジアン,-1
43,ハバタクカミ,同じチーム,3,ウーラオス,-1
44,ハバタクカミ,同じチーム,4,ヒードラン,-1
45,ハバタクカミ,同じチーム,5,ディンルー,-1
46,ハバタクカミ,同じチーム,6,サーフゴー,-1
47,ハバタクカミ,同じチーム,7,ランドロス,-1
48,ハバタクカミ,同じチーム,8,ヌメルゴン,-1
49,ハバタクカミ,同じチーム,9,サンダー,-1
50,ハバタクカミ,同じチーム,10,ガチグマ,-1
51,ハバタクカミ,倒したポケモン,1,ハバタクカミ,-1
