,pokemon_name,params,ranking,param_name,rate
91,カイリュー,覚えているわざ,1,しんそく,70.6
92,カイリュー,覚えているわざ,2,じしん,63.2
93,カイリュー,覚えているわざ,3,りゅうのまい,48.5
94,カイリュー,覚えているわざ,4,はねやすめ,39.4
95,カイリュー,覚えているわざ,5,スケイルショット,32.7
96,カイリュー,覚えているわざ,6,アイアンヘッド,31.2
97,カイリュー,覚えているわざ,7,アンコール,24.7
98,カイリュー,覚えているわざ,8,げきりん,15.0
99,カイリュー,覚えているわざ,9,でんじは,13.3
100,カイリュー,覚えているわざ,10,テラバースト,12.6
101,カイリュー,とくせい,1,マルチスケイル,99.5
102,カイリュー,とくせい,2,せいしんりょく,0.5
103,カイリュー,せいかく,1,いじっぱり,63.2
104,カイリュー,せいかく,2,ようき,15.9
105,カイリュー,せいかく,3,ずぶとい,9.3
106,カイリュー,せいかく,4,わんぱく,4.1
107,カイリュー,せいかく,5,うっかりや,1.6
108,カイリュー,せいかく,6,ゆうかん,1.4
109,カイリュー,せいかく,7,おだやか,1.0
110,カイリュー,せいかく,8,ひかえめ,1.0
111,カイリュー,せいかく,9,しんちょう,0.5
112,カイリュー,せいかく,10,れいせい,0.3
113,カイリュー,もちもの,1,いかさまダイス,30.2
114,カイリュー,もちもの,2,ゴツゴツメット,17.5
115,カイリュー,もちもの,3,こだわりハチマキ,15.5
116,カイリュー,もちもの,4,あつぞこブーツ,8.9
117,カイリュー,もちもの,5,たべのこし,7.7
118,カイリュー,もちもの,6,ラムのみ,6.6
119,カイリュー,もちもの,7,じゃくてんほけん,6.4
120,カイリュー,もちもの,8,するどいくちばし,1.6
121,カイリュー,もちもの,9,クリアチャーム,1.5
122,カイリュー,もちもの,10,おんみつマント,1.3
123,カイリュー,テラスタイプ,1,ノーマル,35.9
124,カイリュー,テラスタイプ,2,はがね,29.5
125,カイリュー,テラスタイプ,3,ひこう,18.2
126,カイリュー,テラスタイプ,4,フェアリー,10.0
127,カイリュー,テラスタイプ,5,ほのお,2.0
128,カイリュー,テラスタイプ,6,でんき,1.7
129,カイリュー,テラスタイプ,7,みず,1.5
130,カイリュー,テラスタイプ,8,ドラゴン,0.4
131,カイリュー,テラスタイプ,9,じめん,0.3
132,カイリュー,テラスタイプ,10,どく,0.2
133,カイリュー,同じチーム,1,ハバタクカミ,-1
134,カイリュー,同じチーム,2,オーガポン,-1
135,カイリュー,同じチーム,3,サーフゴー,-1
136,カイリュー,同じチーム,4,ウーラオス,-1
137,カイリュー,同じチーム,5,ガチグマ,-1
138,カイリュー,同じチーム,6,パオジアン,-1
