,pokemon_name,params,ranking,param_name,rate
0,カイリュー,覚えているわざ,1,しんそく,81.8
1,カイリュー,覚えているわざ,2,じしん,80.4
2,カイリュー,覚えているわざ,3,はねやすめ,61.3
3,カイリュー,覚えているわざ,4,りゅうのまい,47.0
4,カイリュー,覚えているわざ,5,アンコール,26.0
5,カイリュー,覚えているわざ,6,テラバースト,22.0
6,カイリュー,覚えているわざ,7,げきりん,18.7
7,カイリュー,覚えているわざ,8,でんじは,7.7
8,カイリュー,覚えているわざ,9,アイアンヘッド,7.6
9,カイリュー,覚えているわざ,10,エアスラッシュ,7.4
10,カイリュー,とくせい,1,マルチスケイル,99.6
11,カイリュー,とくせい,2,せいしんりょく,0.4
12,カイリュー,せいかく,1,いじっぱり,73.3
13,カイリュー,せいかく,2,わんぱく,7.4
14,カイリュー,せいかく,3,ようき,7.0
15,カイリュー,せいかく,4,ずぶとい,6.6
16,カイリュー,せいかく,5,ひかえめ,0.9
17,カイリュー,せいかく,6,ゆうかん,0.7
18,カイリュー,せいかく,7,しんちょう,0.5
19,カイリュー,せいかく,8,おっとり,0.5
20,カイリュー,せいかく,9,れいせい,0.4
21,カイリュー,せいかく,10,やんちゃ,0.4
22,カイリュー,もちもの,1,ゴツゴツメット,23.3
23,カイリュー,もちもの,2,たべのこし,18.6
24,カイリュー,もちもの,3,こだわりハチマキ,17.0
25,カイリュー,もちもの,4,あつぞこブーツ,12.1
26,カイリュー,もちもの,5,ラムのみ,8.3
27,カイリュー,もちもの,6,するどいくちばし,6.9
28,カイリュー,もちもの,7,おんみつマント,3.2
29,カイリュー,もちもの,8,じゃくてんほけん,3.0
30,カイリュー,もちもの,9,シルクのスカーフ,2.8
31,カイリュー,もちもの,10,ものまねハーブ,0.8
32,カイリュー,テラスタイプ,1,ノーマル,52.1
33,カイリュー,テラスタイプ,2,ひこう,30.0
34,カイリュー,テラスタイプ,3,はがね,6.4
35,カイリュー,テラスタイプ,4,みず,4.8
36,カイリュー,テラスタイプ,5,フェアリー,4.1
37,カイリュー,テラスタイプ,6,でんき,0.8
38,カイリュー,テラスタイプ,7,ほのお,0.7
39,カイリュー,テラスタイプ,8,どく,0.4
40,カイリュー,テラスタイプ,9,ドラゴン,0.3
