お名前(HN可),所属陣営,今年上場廃止になりそうな会社は？
マー,湘南投資勉強会,3070  ジェリービーンズグループ
アリエス,湘南投資勉強会,3070 ジェリービーンズ 債務超過、どうしようもない状態。 
HG,湘南投資勉強会,3070 ジェリービーンズ　赤字が継続しており業績回復の見込みがないため。
あんこ,神戸投資勉強会,3070　ジェリービーンズ　赤字続き
ひかり,無所属,3070ジェリービーンズグループ　TOB
ぴょん,湘南投資勉強会,3077 ホリイフード TOB
とらほう,神戸投資勉強会,3094 スーパーバリュー TOB
えむじぇい,湘南投資勉強会,3103 ユニチカ 上場維持するも意義がないため廃止。
マー,湘南投資勉強会,3113　UNIVA・OAKホールディング
ようこ,神戸投資勉強会,3141　ウエルシアホールディングス　親子上場を解消するかなと思いました。
やまにゃん,湘南投資勉強会,3141ウェルシアHD　イオン系ドラッグストア　ツルハと統合で上場廃止
にゃり,湘南投資勉強会,3159 丸善CHIホールディングス 取次による流通価格転嫁により、出版社による書籍の価格高騰。紙の書籍が売れなくなる。
おいどん,どちらかと言うと神戸,"3171 リンカーズ
M&Aに遭う"
ちちざっぷ,湘南投資勉強会,3185 夢展望 親会社の東証に向けた整理
一心,湘南投資勉強会,3185夢展望 赤字、上場維持基準適合不可能そう
sakumaT,湘南投資勉強会,3189  ANAP    赤字続きなので
yume,湘南投資勉強会,3189 ANAP 現金減少、負債の増加、利益剰余金がマイナス
エアー,直近はkabuberryやパンローリングのIRセミナー等に参加しております。,3189 ANAP　上場維持基準を満たせなさそう。
Lily,秋からIR説明会にどちらの勉強会でも参加させて頂いています。,3189 ANAP 流動比率18%。厳しい。
すっぴー,滋賀投資勉強会,3192 白鳩
ブライ,神戸投資勉強会,3205 ダイドーリミテッド
yss,湘南投資勉強会,3236プロパスト　大幅減益のため。
よっしー,湘南投資勉強会,3280 エストラスト 親子上場解消によるTOB
ロカ,湘南投資勉強会,3280 エストラスト 西部ガスによりそろそろ上場廃止になってもよいのでは？
kazu4565,湘南投資勉強会,3280　エストラスト　西部ガスによるＭＢＯ　
MT,神戸投資勉強会,3319 ゴルフダイジェスト・オンライン
にからご,湘南投資勉強会,3326 ランシステム TOBの可能性。
さふらん,湘南投資勉強会,3326ランシステム　AOKIによるTOB
シンタロー,湘南投資勉強会,3346 ヒロタ　債務超過のため
近藤,湘南投資勉強会,"3346ヒロタグループ
本業が不調の中で債務超過。第三者割当増資が臨時株主総会で可決されれば解消されますが、そうならない可能性もありますので候補としました。"
ユーキ,湘南投資勉強会,3382 7&i HD　創業家発端のMBO
くろせ,湘南投資勉強会,3382 7&i MBO
こりん《KRN》,湘南投資勉強会,3382 7&iHD なんだかんだ買収されてしまう可能性もありそうなので。
きよし,湘南投資勉強会,3382　7&iHD 創業家がお買い上げ
伊豆太郎,湘南投資勉強会,3382 ７＆ｉＨＤ 買収合戦により非公開化。
Bolsa,湘南投資勉強会,3382　セブン％アイホールディングス　MBOの可能性がある
くりご飯,湘南投資勉強会,3382 セブン&I 今年に決着つくのでは無いかなと
初心,湘南投資勉強会,3382 セブン＆アイ
もっぴー,湘南投資勉強会,3382 セブン＆アイ
roku,湘南投資勉強会,3382　セブン＆アイ　　MBOは無理かなー
Chiharu24,湘南投資勉強会,3382 セブン&アイ　　TOB
まこ,湘南投資勉強会,3382 セブン&アイ　MBo
さすけ,湘南投資勉強会,3382　セブン＆アイ　MBO
たぐけん,湘南投資勉強会,3382 セブン&アイ　MBO
イタル,湘南投資勉強会,3382 セブン＆アイ MBOかTOBどちらかで決着しそう
羽根,神戸投資勉強会,3382 セブン&アイ　MBO又はTOB
たっくん,神戸投資勉強会,3382 セブン＆アイ TOB
ごろんちゃん,湘南投資勉強会,3382 セブン＆アイ TOB
ヒロシ,湘南投資勉強会,3382 セブン＆アイ TOBまたはMBO
くま,特になし,3382　セブン＆アイ　創業家によるMBO成功により上場廃止を想定
ぼーい。,神戸投資勉強会,3382 セブン＆アイ 創業家によるTOB成立で。
ほーちゃんのパパ,湘南投資勉強会,3382 セブン&アイ　創業家による上場廃止もしくはATD.TOの買収
end,湘南投資勉強会,"3382 セブン＆アイ
MBO"
かもめ,湘南投資勉強会,3382　セブン＆アイ。MBOかTOBで。
boxman,湘南投資勉強会,3382 セブン＆アイ・ホールディングス　MBO TOBにより
日生牡蠣,どちらの勉強会にもまだ参加したことがないです,3382 セブン&アイ・ホールディングス　TOBかMBOで今年中に上場廃止になりそう
しのぴーX＠横綱若三杉,神戸投資勉強会,3382 セブン＆アイ・ホールディングス　カナダ企業に買収される、創業家によるMBOなど非上場化が考えられる。
とらほう,神戸投資勉強会,3382 セブン&アイ・ホールディングス なんだかんだMBO
ロニー,湘南投資勉強会,3382 セブン&アイ・ホールディングス 創業家がTOBする。
oct,湘南投資勉強会,3382 セブン＆アイ・ホールディングス 買収対抗で非上場化。
ひろやん,無所属（一度、湘南投資勉強会に参加）,3382 セブン＆アイ・ホールディングス 買収防衛のためMBOによる上場廃止を行うため。
kawasemi7,湘南投資勉強会,3382　セブン＆アイHD　MBOによる上場廃止
ちゃちゃ,神戸投資勉強会,3382　セブン＆アイHD　TOB
豚さがり,湘南投資勉強会,3382　セブン＆アイHLD　MBO
横浜ジロー,湘南投資勉強会,3382　セブン＆アイホールディング　創業家によるMBO
がっしー会長,神戸投資勉強会,3382 セブン&アイホールディングス　色々と記事に出ているとおり、TOBがある為
マックス,草を食べて暮らそう会,3382 セブン&アイホールディングス 買収の可能性はあると思います
たかたか,神戸投資勉強会,"3382 セブン&アイホールディングス
アリマンタシォン・クシュタールか創業家からTOBによる上場廃止"
cocoa,神戸投資勉強会,3382 セブンアイHD MBOのため
DAIBOUCHOU,湘南投資勉強会,"3382	セブン＆アイHD　創業家MBOで検討中との事で。本当に出来るのか？"
シバマサ,湘南投資勉強会,3382セブン＆アイ　MBO
どみの,神戸投資勉強会,3382セブン&アイ いわずと知れた。
むね坊主,神戸投資勉強会,3382セブン＆アイ　買収成立
バンプ,神戸投資勉強会,3382セブン&アイ。MBO
牛肉太郎,神戸投資勉強会,3537　昭栄薬品　オアシスが花王の株を購入してごちゃごちゃしているし、昭栄薬品の持っている花王株は多いので、巻き込まれてTOBかMBOがありそう。
シンタロー,湘南投資勉強会,3577 東海染工　流通株式の不足
あちし,湘南投資勉強会,3622 ネットイヤー TOB
グコウさん,神戸投資勉強会,3622ネットイヤー　NTTデータさんまだ買えますよね
だいふく,湘南投資勉強会,3624 アクセルマーク　利益余剰金マイナス。赤字継続企業
ののこ,湘南投資勉強会,3633 GMOペパボ GMOグループの再編
AK,神戸投資勉強会,3641パピレス　たいしたことない値段でひっそりとMBOされる
bamboo7,その他,3672 オルトプラス GC注記銘柄
タッチ,湘南投資勉強会,"3672 オルトプラス
慢性赤字、売り上げ減少"
秋吉義明,湘南投資勉強会,3686 DLE 赤字継続
ブライ,神戸投資勉強会,3688 CARTA TOB
りんたん,湘南投資勉強会,3695 GMOリサーチ＆AI GMO子会社上場乱立をついに東証が問題視
Mくんニキ,神戸投資勉強会,3723 日本ファルコム 会長が亡くなったから
HAL,神戸投資勉強会,3738 ティーガイア ファンドに買収されたので 
Chiharu24,湘南投資勉強会,3772 ウェルス・マネジメント　TOB
リネラブ,神戸投資勉強会,3772 ウェルス・マネジメント ファンドによるTOB
HG,湘南投資勉強会,3803 イメージ情報開発　売上が上昇していないため
しのぴーX＠横綱若三杉,神戸投資勉強会,3808 オウケイウェイヴ 上場維持基準に抵触しそう。
ぴょん,湘南投資勉強会,3808 オウケイウェイヴ 連続赤字
えむじぇい,湘南投資勉強会,3808 オウケイウェブ 上場廃止にリーチがかかる。期中のさらなる買収も失敗に終わり天誅。
ごはん,湘南投資勉強会,3815　メディア工房　占ってみた結果
PINO,湘南投資勉強会,3823 The why how do company 何がしたいのかわからない。廃止してほしい。
hiro,湘南投資勉強会,3830 ギガプライズ　フリービットによるTOB
お蝶,湘南投資勉強会,3830 ギガプライズ フリービットによる買収
おのこ,所属なし,3832　The why How Do Company　業績不振
さざなみ,湘南投資勉強会,3844　コムチュア  非公開化期待
pekepeke,湘南投資勉強会,3844　コムチュア　TOB観測を会社は否定したためMBOを予想
ISO,湘南投資勉強会,3856 Abalance コンプライアンス問題あり
株島,神戸投資勉強会,3856 abalance そのような噂をよく聞くため
でこぽん,神戸投資勉強会,3856 Abalance 不祥事系
キリン@神戸投資勉強会,神戸投資勉強会,3856 エーバランス　そろそろいいでしょう..
次男坊,神戸投資勉強会,3864 三菱製紙 根拠はないけど筆頭株主の王子製紙がTOBしてくれたらと期待してます。
どみの,神戸投資勉強会,3892岡山製紙 親会社のTOB期待。
天パの電波ちゃん,神戸投資勉強会,3902 メディカルデータビジョン
yss,湘南投資勉強会,3914JIG-SAW　TOBされて。
end,湘南投資勉強会,"3929ソーシャルワイヤー
親会社が買いそう"
ののこ,湘南投資勉強会,3932 アカツキ ソニーとか買収しちゃいそう
まる,湘南投資勉強会,3936 グローバルウエイ　一昨年ころSNSでよく聞いていたけど業績は良くないので
