,pokemon_name,params,ranking,param_name,rate
91,カイリュー,覚えているわざ,1,しんそく,85.9
92,カイリュー,覚えているわざ,2,じしん,83.8
93,カイリュー,覚えているわざ,3,はねやすめ,64.7
94,カイリュー,覚えているわざ,4,りゅうのまい,53.9
95,カイリュー,覚えているわざ,5,アンコール,22.8
96,カイリュー,覚えているわざ,6,げきりん,17.0
97,カイリュー,覚えているわざ,7,テラバースト,16.8
98,カイリュー,覚えているわざ,8,アイアンヘッド,7.7
99,カイリュー,覚えているわざ,9,ドラゴンテール,7.6
100,カイリュー,覚えているわざ,10,ほのおのパンチ,4.9
101,カイリュー,とくせい,1,マルチスケイル,99.5
102,カイリュー,とくせい,2,せいしんりょく,0.5
103,カイリュー,せいかく,1,いじっぱり,76.1
104,カイリュー,せいかく,2,わんぱく,8.4
105,カイリュー,せいかく,3,ようき,6.5
106,カイリュー,せいかく,4,ずぶとい,3.3
107,カイリュー,せいかく,5,ひかえめ,0.8
108,カイリュー,せいかく,6,うっかりや,0.7
109,カイリュー,せいかく,7,れいせい,0.6
110,カイリュー,せいかく,8,しんちょう,0.6
111,カイリュー,せいかく,9,ゆうかん,0.5
112,カイリュー,せいかく,10,むじゃき,0.5
113,カイリュー,もちもの,1,あつぞこブーツ,20.7
114,カイリュー,もちもの,2,たべのこし,20.5
115,カイリュー,もちもの,3,ゴツゴツメット,20.2
116,カイリュー,もちもの,4,こだわりハチマキ,13.7
117,カイリュー,もちもの,5,ラムのみ,8.6
118,カイリュー,もちもの,6,おんみつマント,4.1
119,カイリュー,もちもの,7,じゃくてんほけん,3.8
120,カイリュー,もちもの,8,するどいくちばし,2.5
121,カイリュー,もちもの,9,シルクのスカーフ,1.1
122,カイリュー,もちもの,10,クリアチャーム,0.9
123,カイリュー,テラスタイプ,1,ノーマル,64.6
124,カイリュー,テラスタイプ,2,ひこう,19.1
125,カイリュー,テラスタイプ,3,はがね,5.5
126,カイリュー,テラスタイプ,4,フェアリー,5.1
127,カイリュー,テラスタイプ,5,みず,2.5
128,カイリュー,テラスタイプ,6,でんき,1.5
129,カイリュー,テラスタイプ,7,ほのお,0.6
130,カイリュー,テラスタイプ,8,ドラゴン,0.5
131,カイリュー,テラスタイプ,9,こおり,0.2
132,カイリュー,テラスタイプ,10,どく,0.2
133,カイリュー,同じチーム,1,ハバタクカミ,-1
134,カイリュー,同じチーム,2,サーフゴー,-1
135,カイリュー,同じチーム,3,パオジアン,-1
136,カイリュー,同じチーム,4,ウーラオス,-1
137,カイリュー,同じチーム,5,ディンルー,-1
138,カイリュー,同じチーム,6,テツノツツミ,-1
139,カイリュー,同じチーム,7,ヒードラン,-1
140,カイリュー,同じチーム,8,ミミッキュ,-1
141,カイリュー,同じチーム,9,ガチグマ,-1
142,カイリュー,同じチーム,10,ヌメルゴン,-1
143,カイリュー,倒したポケモン,1,ハバタクカミ,-1
144,カイリュー,倒したポケモン,2,カイリュー,-1
145,カイリュー,倒したポケモン,3,パオジアン,-1
146,カイリュー,倒したポケモン,4,ウーラオス,-1
