,pokemon_name,params,ranking,param_name,rate
0,ハバタクカミ,覚えているわざ,1,ムーンフォース,93.2
1,ハバタクカミ,覚えているわざ,2,シャドーボール,90.5
2,ハバタクカミ,覚えているわざ,3,マジカルフレイム,61.3
3,ハバタクカミ,覚えているわざ,4,サイコショック,40.6
4,ハバタクカミ,覚えているわざ,5,ほろびのうた,19.2
5,ハバタクカミ,覚えているわざ,6,パワージェム,13.6
6,ハバタクカミ,覚えているわざ,7,１０まんボルト,11.4
7,ハバタクカミ,覚えているわざ,8,めいそう,10.4
8,ハバタクカミ,覚えているわざ,9,みがわり,9.8
9,ハバタクカミ,覚えているわざ,10,あまえる,9.2
10,ハバタクカミ,とくせい,1,こだいかっせい,100.0
11,ハバタクカミ,せいかく,1,おくびょう,73.3
12,ハバタクカミ,せいかく,2,ひかえめ,21.9
13,ハバタクカミ,せいかく,3,ずぶとい,2.8
14,ハバタクカミ,せいかく,4,おだやか,0.4
15,ハバタクカミ,せいかく,5,せっかち,0.3
16,ハバタクカミ,せいかく,6,おっとり,0.2
17,ハバタクカミ,せいかく,7,むじゃき,0.2
18,ハバタクカミ,せいかく,8,ようき,0.2
19,ハバタクカミ,せいかく,9,てれや,0.1
20,ハバタクカミ,せいかく,10,まじめ,0.1
21,ハバタクカミ,もちもの,1,ブーストエナジー,39.2
22,ハバタクカミ,もちもの,2,こだわりメガネ,29.8
23,ハバタクカミ,もちもの,3,こだわりスカーフ,14.4
24,ハバタクカミ,もちもの,4,きあいのタスキ,11.0
25,ハバタクカミ,もちもの,5,いのちのたま,2.0
26,ハバタクカミ,もちもの,6,とつげきチョッキ,1.4
27,ハバタクカミ,もちもの,7,たべのこし,0.5
28,ハバタクカミ,もちもの,8,ものしりメガネ,0.2
29,ハバタクカミ,もちもの,9,たつじんのおび,0.2
30,ハバタクカミ,もちもの,10,ラムのみ,0.2
31,ハバタクカミ,テラスタイプ,1,フェアリー,63.4
32,ハバタクカミ,テラスタイプ,2,ほのお,15.5
33,ハバタクカミ,テラスタイプ,3,ノーマル,6.6
34,ハバタクカミ,テラスタイプ,4,ゴースト,6.5
35,ハバタクカミ,テラスタイプ,5,みず,3.6
36,ハバタクカミ,テラスタイプ,6,はがね,1.4
37,ハバタクカミ,テラスタイプ,7,じめん,1.0
38,ハバタクカミ,テラスタイプ,8,かくとう,0.6
39,ハバタクカミ,テラスタイプ,9,でんき,0.5
40,ハバタクカミ,テラスタイプ,10,くさ,0.3
41,ハバタクカミ,同じチーム,1,ディンルー,-1
42,ハバタクカミ,同じチーム,2,パオジアン,-1
43,ハバタクカミ,同じチーム,3,カイリュー,-1
44,ハバタクカミ,同じチーム,4,イーユイ,-1
45,ハバタクカミ,同じチーム,5,サーフゴー,-1
46,ハバタクカミ,同じチーム,6,テツノドクガ,-1
47,ハバタクカミ,同じチーム,7,コノヨザル,-1
48,ハバタクカミ,同じチーム,8,セグレイブ,-1
49,ハバタクカミ,同じチーム,9,テツノツツミ,-1
50,ハバタクカミ,同じチーム,10,マリルリ,-1
51,ハバタクカミ,倒したポケモン,1,ハバタクカミ,-1
