,pokemon_name,params,ranking,param_name,rate
0,ハバタクカミ,覚えているわざ,1,ムーンフォース,91.9
1,ハバタクカミ,覚えているわざ,2,シャドーボール,85.1
2,ハバタクカミ,覚えているわざ,3,めいそう,35.0
3,ハバタクカミ,覚えているわざ,4,マジカルフレイム,34.5
4,ハバタクカミ,覚えているわざ,5,サイコショック,27.8
5,ハバタクカミ,覚えているわざ,6,いたみわけ,19.2
6,ハバタクカミ,覚えているわざ,7,テラバースト,16.8
7,ハバタクカミ,覚えているわざ,8,あまえる,16.6
8,ハバタクカミ,覚えているわざ,9,みがわり,16.4
9,ハバタクカミ,覚えているわざ,10,パワージェム,9.8
10,ハバタクカミ,とくせい,1,こだいかっせい,100.0
11,ハバタクカミ,せいかく,1,おくびょう,79.7
12,ハバタクカミ,せいかく,2,ひかえめ,15.3
13,ハバタクカミ,せいかく,3,ずぶとい,3.7
14,ハバタクカミ,せいかく,4,せっかち,0.2
15,ハバタクカミ,せいかく,5,おだやか,0.2
16,ハバタクカミ,せいかく,6,むじゃき,0.2
17,ハバタクカミ,せいかく,7,おっとり,0.1
18,ハバタクカミ,せいかく,8,れいせい,0.1
19,ハバタクカミ,せいかく,9,てれや,0.1
20,ハバタクカミ,せいかく,10,ようき,0.1
21,ハバタクカミ,もちもの,1,ブーストエナジー,59.1
22,ハバタクカミ,もちもの,2,こだわりメガネ,22.8
23,ハバタクカミ,もちもの,3,きあいのタスキ,7.3
24,ハバタクカミ,もちもの,4,こだわりスカーフ,4.2
25,ハバタクカミ,もちもの,5,とつげきチョッキ,3.7
26,ハバタクカミ,もちもの,6,いのちのたま,0.9
27,ハバタクカミ,もちもの,7,たべのこし,0.5
28,ハバタクカミ,もちもの,8,せいれいプレート,0.2
29,ハバタクカミ,もちもの,9,ゴツゴツメット,0.2
30,ハバタクカミ,もちもの,10,おんみつマント,0.1
31,ハバタクカミ,テラスタイプ,1,フェアリー,42.6
32,ハバタクカミ,テラスタイプ,2,みず,27.8
33,ハバタクカミ,テラスタイプ,3,じめん,11.0
34,ハバタクカミ,テラスタイプ,4,ほのお,5.3
35,ハバタクカミ,テラスタイプ,5,ノーマル,5.3
36,ハバタクカミ,テラスタイプ,6,ゴースト,5.3
37,ハバタクカミ,テラスタイプ,7,くさ,0.8
38,ハバタクカミ,テラスタイプ,8,はがね,0.7
39,ハバタクカミ,テラスタイプ,9,かくとう,0.4
40,ハバタクカミ,テラスタイプ,10,でんき,0.4
41,ハバタクカミ,同じチーム,1,パオジアン,-1
42,ハバタクカミ,同じチーム,2,カイリュー,-1
43,ハバタクカミ,同じチーム,3,ウーラオス,-1
44,ハバタクカミ,同じチーム,4,ヒードラン,-1
45,ハバタクカミ,同じチーム,5,ランドロス,-1
46,ハバタクカミ,同じチーム,6,ディンルー,-1
47,ハバタクカミ,同じチーム,7,サーフゴー,-1
48,ハバタクカミ,同じチーム,8,サンダー,-1
49,ハバタクカミ,同じチーム,9,ヌメルゴン,-1
50,ハバタクカミ,同じチーム,10,ヘイラッシャ,-1
