	①2倍株	Unnamed: 1	Unnamed: 2	②上場廃止	Unnamed: 4	Unnamed: 5	③日経平均	Unnamed: 7	Unnamed: 8	④株式市場で起こること	Unnamed: 10	Unnamed: 11
99	豚さがり		2	EK			愛媛のユウ			hana		1
100	たむっちょ		2	アオ			海運			hokusansan1		1
101	めそ		2	いっちゃん			gonta@株			フィナンシェ		1
102	シロモ		2	Yokabun			HIKO			ダンベルドア		1
103	がっしー会長		2	グコウさん		0	あお			ほみ株		1
104	ayame		2	VASHI			シロモ			ごんきち		1
105	こいけ		2	ひろたん			あべんどT			こいけ		1
106	Kent		2	ピリヤ			のりぞー			まちゃ		1
107	COWとれーだー		2	お蝶			カヌレ			イタル		1
108	Nori. H			どみの			おいどん			ひんご		1
109	ベリーピザ			ほくと			シェイン			Lima		1
110	翁			piyopiyodawan			沼田将匡			グコウさん		1
111	さーさ			マー			りんたん			キリン＠神戸投資勉強会		1
112	たかね			ぐらぐら			ポンポコたぬき			ねふぇ		1
113	のりぞー			深田恭子			あきんこ			あそびにん		1
114	お蝶			あんこ			TAKAS			エル川		1
115	もす			たう			ほーちゃんのパパ			yuko		1
116	しのぴー＠横綱　若三杉			happy			なべさん＠高配当バリュー投資家			らび		1
117	一人旅			ラッキー			まえだ（前田嘉一）			華		1
118	pekepeke			Nori. H			rei			じゅぽたん		1
119	大きなかぶ			うさみん			如水			Chiharu24		1
120	じょにー			りょう			オウル			kazu4565		1
121	さふらん			take			華			ブラウン		1
122	ハネハネ			hiroseka（ひろせか）			ののこ🍣			とっしー		1
123	sasuke			yossy			あい			take		1
124	ののこ🍣			カヌレ			バール			円蔵		1
125	azuai			ヨシ			☆にゃー☆			たぐけん		1
126	先高			かもめ			sakumaT			Takamiy		1
127	Chiharu24			タダモノ			すっぴー			T		1
128	ミッチャン			やってぃーさん			うさみん			たこ		1
129	にったあきら			Bolsa			とおるがfire			VASHI		1
130	矢部			AKI			睡眠			かぶとみ		1
131	かもめ			如水			のりぃ			しろまる		1
132	フックン			mio			YOKO			牛肉太郎		1
133	きづ			おいどん			ヒロ			ぬくごろ		1
134	するが			しょうり			きよし			大きなかぶ		1
135	マー			victoriakcol naoe			ミキスケ			にゃり		1
136	メイプル			えむ(湘南)			大陸浪人			スーパーこさく		1
137	グコウさん			じょにー			よぴ			アンテ＠株式投資		1
138	すっぴー			茶々丸			ヒデゾー			くま		1
139	ダンベルドア			がっしー会長			みま			AK		1
140	sufo			momo			タダモノ			TMO		1
141	ぺるる			五十嵐			やってぃーさん			Tamu		1
142	ののじ			ににもも			はくたく			いっちゃん		1
143	KM			ダイナー			GGS			ボンボン		1
144	ぼんやり田中さん			ライコネン			キリン＠神戸投資勉強会			GGS		1
145	end＠電力大好き			ぼんやり田中さん			Jun			Tat		1
146	ぬくごろ			Tat		0	秋吉義明			たかたか		1
147	スカイラー			タイ			kazu4565			まもる		1
148	梅太郎			おざ			ハネハネ			COWとれーだー		1
149	まろまろ			ベリーピザ			mayumayu			投資家N		1
150	アオ			ポンポコたぬき			hiro			mayumayu		1
151	JYO			のりぃ			nt164			がっしー会長		1
152	牛肉太郎			sei			Kent			アディ		1
153	プケ			かぺぺ			piyopiyodawan			クニ		1
154	海運			ブラウン			VASHI			とらほう		1
155	羽根			あべんどT			SAKANA			沼田将匡		1
156	あーうぃん			rei			アディ			ひろたん		1
157	ぱじぃた			ぱふぇっと			Tamu			わちムシ		1
158	とおるがfire			hana			キューピー			たーちゃん		1
159	victoriakcol naoe			Kent			TMO			tony		1
160	たーちゃん			Jun			とっしー			hiroseka（ひろせか）		1
161	Tat			猫三昧			あんこ			ダイナー		0
162	Tommy			ボントレ			なつみ			五十嵐		0
163	アヤ(もけもけ山)			豚さがり			くま			ケイ		0
164	Takamiy			日本酒軽			ブラウン			Nori. H		0
165	Tamu			アリエス			クロロ			しのぴー＠横綱　若三杉		0
166	五十嵐			Tommy			ぽけもん２			ほしいも		0
167	アンテ＠株式投資			モモクリン			ケイ			masa		0
168	あきんこ			先高			ラッキー			happy		0
169	ケイ			アヤ(もけもけ山)			こいけ			mio		0
170	たっくん			小バンダ			松井優作			蕎麦好き		0
171	猫三昧			お多福。。			スーパースタン			するが		0
172	お花畑			さふらん			えむ(神戸)			YOKO		0
173	ライコネン			華			にゃり			アヤ(もけもけ山)		0
174	ゆうき			nt164			けーさん@			ベリーピザ		0
175	たぬ吉			ヨールト			ひらはら			EK		0
176	たぐけん			グラッチ			ロニー			ぴょん		0
177	あ			あい			ほみ株			らう		0
178	えびす			まえだ（前田嘉一）			NY			ヨールト		0
179	はくたく			さくさく			まぴ			じょにー		0
180	リネラブ			するが			あそびにん			松井優作		0
181	SAKANA			クロロ			まもる			ritz9661		0
182	rurio			とっしー			がっしー会長			おざ		0
183	yuko			tony			もりお			美波 		0
184	ミキスケ			うわん			take			ayame		0
185	のりぃ			roku			ユーキ			写楽保介		0
186	まるのん			めがね			たむっちょ			おいどん		0
187	やってぃーさん			mayumayu			らう			rurio		0
188	松井優作			あちし			hiroseka（ひろせか）			うわん		0
189	オウル			よぴ			大きなかぶ			あーうぃん		0
190	イタル			オニール好きの投資家			えびす			日本酒軽		0
191	Yokabun			フィナンシェ			中田B			大陸浪人		0
192	ヨシ			オウル			たーちゃん			momo		0
193	しょうり			ゆに			投資家N			nt164		0
194	あい			ひらはら			たぬ吉			深田恭子		0
195	あお			COWとれーだー			与野			　ちちやす		0
196	投資家N			大陸浪人			ぼんやり田中さん			先高		0
197	写楽保介			リネラブ			にったあきら			シェイン		0
198	YOKO			まちゃ			ゆうき			トニー		0
199	たかたか			イタル			よっしー			もす		0
200	piyopiyodawan			くま			らび			一ノ瀬		0
201	クロロ			saku			おむすび🍙			ぱふぇっと		0
202	GGS			投資家N			人間			べいべー		0
203	masa			トニー			グラッチ			たぬ吉		0
204	ritz9661			シェイン			梅太郎			end＠電力大好き		0
205	トニー			ぴょん			イタル			ピリヤ		0
206	しろまる			SAKANA			あきら			ゆきお		0
207	ドットコムのトマト			ののじ			茶々丸			ぽけもん２		0
208	バクタ			矢部			hana			rokuroku		0
209	maro			AK			KM			牛歩		0
210	じゅぽたん			しのぴー＠横綱　若三杉			牛歩			ライコネン		0
211	よぴ			えむ(神戸)			Takamiy			ぱじぃた		0
212	ねふぇ			めそ			ritz9661			睡眠		0
213	grass hopper			たーちゃん			いっちゃん			むね坊主		0
214	ほくと			柊@kabu			JYO			翁		0
215	けーさん@			さーさ			えむじぇい			victoriakcol naoe		0
216	あそびにん			たかね			Meril			SAKANA		0
217	本屋			にゃり			くろ			中田B		0
218	小バンダ			一人旅			クニ			お多福。。		0
219	グラッチ			shin 619			ごんきち			柊@kabu		0
220	ひらはら			pekepeke			一ノ瀬			neko4979		0
221	どみの			蕎麦好き			じゅぽたん			猫三昧		0
222	めがね			DAIBOUCHOU			ギデ			なべさん＠高配当バリュー投資家		0
223	まえだ（前田嘉一）			rurio			ぬくごろ			よしぼん		0
224	keiko			こた			とらほう			バール		0
225	momo			大きなかぶ			ピリヤ			クロロ		0
226	ピリヤ			一ノ瀬			羽根			たかね		0
227	ちょる子			えむじぇい			ひんご			sasuke		0
228	バール			人間			まちゃ			Yoshua		0
229	よしぼん			じゅぽたん			ボンボン			ハネハネ		0
230	ゆに			neko4979			いちすけ			ほくと		0
231	ごんきち			なのなの			マー			マー		0
232	mio			りんたん			しのぴー＠横綱　若三杉			与野		0
233	moo			hiro			ミッチャン			えむじぇい		0
234	なべさん＠高配当バリュー投資家			ハネハネ			バンコク太郎			ににもも		0
